"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Matt Belisle","Rockies","5","7","0","72","0","73.0","7.64","1.85","0.74",".321","65.4 %","48.6 %","10.9 %","4.32","3.03","2.99","1.3","1837"
"Alex Torres","Rays","4","2","0","39","0","58.0","9.62","3.10","0.16",".221","80.2 %","42.1 %","2.0 %","1.71","2.32","3.30","1.3","7038"
"Steve Delabar","Blue Jays","5","5","1","55","0","58.2","12.58","4.45","0.61",".338","74.3 %","29.4 %","6.2 %","3.22","2.72","3.35","1.2","11827"
"Brandon Kintzler","Brewers","3","3","0","71","0","77.0","6.78","1.87","0.23",".281","71.1 %","57.4 %","4.9 %","2.69","2.54","2.93","1.2","9939"
"Luke Gregerson","Padres","6","8","4","73","0","66.1","8.68","2.44","0.41",".257","70.4 %","45.5 %","4.9 %","2.71","2.70","3.37","1.2","4090"
"Casey Janssen","Blue Jays","4","1","34","56","0","52.2","8.54","2.22","0.51",".254","74.3 %","47.9 %","7.1 %","2.56","2.74","3.09","1.2","7355"
"Fernando Rodney","Rays","5","4","37","68","0","66.2","11.07","4.86","0.41",".298","73.4 %","50.6 %","7.1 %","3.38","2.84","3.11","1.2","494"
"Adam Ottavino","Rockies","1","3","0","51","0","78.1","8.96","3.56","0.57",".311","79.8 %","45.6 %","7.1 %","2.64","3.15","3.54","1.2","1247"
"LaTroy Hawkins","Mets","3","2","13","72","0","70.2","7.00","1.27","0.76",".301","74.7 %","48.4 %","10.0 %","2.93","3.06","3.12","1.2","729"
"Luke Hochevar","Royals","5","2","2","58","0","70.1","10.49","2.18","1.02",".214","92.1 %","35.0 %","11.0 %","1.92","2.96","2.90","1.1","6943"
"Jonathan Papelbon","Phillies","5","1","29","61","0","61.2","8.32","1.61","0.88",".296","76.7 %","39.9 %","7.7 %","2.92","3.05","3.51","1.1","5975"
"Charlie Furbush","Mariners","2","6","0","71","0","65.0","11.08","4.02","0.69",".264","64.4 %","40.1 %","8.1 %","3.74","3.06","3.37","1.1","1370"
"Craig Stammen","Nationals","7","6","0","55","0","81.2","8.71","2.98","0.44",".326","75.9 %","59.7 %","7.4 %","2.76","2.82","3.08","1.1","7274"
"Cody Allen","Indians","6","1","2","77","0","70.1","11.26","3.33","0.90",".307","84.6 %","30.2 %","8.6 %","2.43","2.99","3.27","1.1","12183"
"Casey Fien","Twins","5","2","0","73","0","62.0","10.60","1.74","1.31",".280","69.4 %","37.3 %","13.8 %","3.92","3.16","2.71","1.1","3926"
"Bryan Shaw","Indians","7","3","1","70","0","75.0","8.76","3.36","0.48",".271","70.6 %","42.5 %","6.1 %","3.24","3.07","3.58","1.0","8110"
"Dane de la Rosa","Angels","6","1","2","75","0","72.1","8.09","3.48","0.37",".273","74.3 %","51.3 %","5.5 %","2.86","2.99","3.49","1.0","10095"
"Sergio Romo","Giants","5","8","38","65","0","60.1","8.65","1.79","0.75",".276","78.0 %","40.7 %","7.9 %","2.54","2.85","3.20","1.0","9817"
"Rex Brothers","Rockies","2","1","19","72","0","67.1","10.16","4.81","0.67",".280","88.8 %","48.8 %","9.3 %","1.74","3.36","3.49","1.0","9794"
"Brian Matusz","Orioles","2","1","0","65","0","51.0","8.82","2.82","0.53",".292","70.4 %","39.3 %","5.6 %","3.53","2.91","3.59","1.0","2646"
"Sam LeCure","Reds","2","1","1","63","0","61.0","9.74","3.54","0.59",".295","82.1 %","43.0 %","7.4 %","2.66","2.97","3.32","1.0","4664"
"Robbie Ross Jr.","Rangers","4","2","0","65","0","62.1","8.37","2.74","0.58",".326","81.1 %","45.4 %","8.3 %","3.03","3.18","3.39","1.0","6819"
"Anthony Swarzak","Twins","3","2","0","48","0","96.0","6.47","2.06","0.66",".285","77.3 %","45.2 %","6.7 %","2.91","3.28","3.81","1.0","7466"
